************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               4
 number of cores per block  =               2
 global update is not used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =             960
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =   96.000000000000000
 lambda, el-phonon coupling =    0.900000000000000
Anti-aidabatic limit, M = 0.0
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error            LError
BFx_BFx_k          56       -0.36790935        0.04160440        0.00000000
BFx_BFx_k          57        0.12831898        0.01981499        0.00000000
BFx_BFx_k          58       -0.31084920        0.01168823        0.00000000
BFx_BFx_k          59        0.03024402        0.00781457        0.00000000
BFx_BFx_k          60       -0.07193941        0.01844060        0.00000000
BFx_BFx_k          61        0.48263319        0.01671970        0.00000000
BFx_BFx_k          62       -0.10489573        0.02267522        0.00000000
BFx_BFx_k          63       -0.03147918        0.01102492        0.00000000
BFx_BFx_k          64       -0.33958915        0.00504282        0.00000000
  
#-----------------------------------------------------------
BFx_BFy             1       -0.38844331        0.27180456        0.00000000
BFx_BFy             2        0.79994732        0.19201152        0.00000000
BFx_BFy             3        0.38277481        0.28950661        0.00000000
BFx_BFy             4       -0.50871220        0.32573511        0.00000000
BFx_BFy             5       -1.01812261        0.21159469        0.00000000
BFx_BFy             6        0.00592348        0.29074448        0.00000000
BFx_BFy             7       -0.13818382        0.34369569        0.00000000
BFx_BFy             8       -0.12220426        0.45346653        0.00000000
BFx_BFy             9       -0.42041235        0.36349544        0.00000000
BFx_BFy            10        0.13439282        0.14277053        0.00000000
BFx_BFy            11       -0.78649774        0.23654937        0.00000000
BFx_BFy            12        0.26624476        0.29816716        0.00000000
BFx_BFy            13       -0.11226507        0.22883110        0.00000000
BFx_BFy            14       -0.90988663        0.28988119        0.00000000
BFx_BFy            15        0.26320576        0.18647159        0.00000000
BFx_BFy            16        0.38963697        0.23616400        0.00000000
BFx_BFy            17       -0.60515813        0.42471047        0.00000000
BFx_BFy            18        0.93013849        0.25273829        0.00000000
BFx_BFy            19        0.40431330        0.24961818        0.00000000
BFx_BFy            20        0.20812636        0.27934023        0.00000000
BFx_BFy            21        1.12274975        0.47857506        0.00000000
BFx_BFy            22       -0.37198292        0.10052395        0.00000000
BFx_BFy            23       -0.07241623        0.30117948        0.00000000
BFx_BFy            24       -0.40428750        0.25305296        0.00000000
BFx_BFy            25       -0.58162603        0.20665996        0.00000000
BFx_BFy            26       -0.34062719        0.26636476        0.00000000
BFx_BFy            27        0.33791489        0.26266094        0.00000000
BFx_BFy            28        0.40130338        0.13968770        0.00000000
BFx_BFy            29       -1.25712388        0.20322543        0.00000000
BFx_BFy            30       -0.45925553        0.16631763        0.00000000
BFx_BFy            31       -0.12610905        0.32935413        0.00000000
BFx_BFy            32        0.82470315        0.38134171        0.00000000
BFx_BFy            33       -0.30263057        0.28277957        0.00000000
BFx_BFy            34       -0.42223356        0.38454088        0.00000000
BFx_BFy            35       -0.06205660        0.26597637        0.00000000
BFx_BFy            36       -0.90727214        0.29301226        0.00000000
BFx_BFy            37        0.83900051        0.41596327        0.00000000
BFx_BFy            38       -0.53437155        0.09664578        0.00000000
BFx_BFy            39       -0.03314471        0.36647620        0.00000000
BFx_BFy            40        0.37879533        0.10812033        0.00000000
BFx_BFy            41       -0.35225103        0.37054156        0.00000000
BFx_BFy            42        0.42496321        0.44002076        0.00000000
BFx_BFy            43        0.53416651        0.41977601        0.00000000
BFx_BFy            44       -0.64434287        0.32839474        0.00000000
BFx_BFy            45       -0.10381789        0.34267635        0.00000000
BFx_BFy            46        0.32572563        0.26103351        0.00000000
BFx_BFy            47        1.47198162        0.14225879        0.00000000
BFx_BFy            48       -0.72303221        0.16419735        0.00000000
BFx_BFy            49       -0.34606272        0.23706617        0.00000000
BFx_BFy            50       -1.05745620        0.58854771        0.00000000
BFx_BFy            51       -0.02730357        0.27346018        0.00000000
BFx_BFy            52        0.28209059        0.52217003        0.00000000
BFx_BFy            53        0.01339406        0.32132947        0.00000000
BFx_BFy            54        0.75223652        0.14892449        0.00000000
BFx_BFy            55        0.21161804        0.39883635        0.00000000
BFx_BFy            56       -0.19701030        0.23469711        0.00000000
BFx_BFy            57        0.44594588        0.50295094        0.00000000
BFx_BFy            58        0.85191209        0.48881584        0.00000000
BFx_BFy            59        0.08774888        0.42215128        0.00000000
BFx_BFy            60        0.76073342        0.25417371        0.00000000
BFx_BFy            61        0.42438590        0.45495733        0.00000000
BFx_BFy            62        0.33794098        0.33255609        0.00000000
BFx_BFy            63       -0.41869879        0.17666186        0.00000000
BFx_BFy            64       -0.06498365        0.41900126        0.00000000
  
#-----------------------------------------------------------
BFx_BFy_k           1        0.13773684        0.02311272        0.00000000
BFx_BFy_k           2       -0.29279823        0.01504253        0.00000000
BFx_BFy_k           3       -0.00966077        0.02149051        0.00000000
BFx_BFy_k           4       -0.02731660        0.01549845        0.00000000
BFx_BFy_k           5        0.48510706        0.02538099        0.00000000
BFx_BFy_k           6       -0.02731660        0.01549845        0.00000000
BFx_BFy_k           7       -0.00966077        0.02149051        0.00000000
BFx_BFy_k           8       -0.29279823        0.01504253        0.00000000
BFx_BFy_k           9        0.13035529        0.02012943        0.00000000
BFx_BFy_k          10       -0.34497813        0.00512284        0.00000000
BFx_BFy_k          11       -0.03197873        0.01119988        0.00000000
BFx_BFy_k          12       -0.10656033        0.02303506        0.00000000
