************************************************
 ***********************************************
           Epsoc_phonon_along_Z
************************************************
************************************************
 Hamiltonian: H = H_k + \lambda * X1 * i sigma_y J^x + X2 * i sigma_x J^y

 ####################################
 #####  Monte Carlo parameter  #####
 ####################################
 nbin  =               5
 measurements in one_bin              2
 warmup  =              10
 meas_interval  =               1
 meas_timerange  =               0
 total_iterations  =              20
 number of mpi_blocks  =               1
 number of cores per block  =               1
 global update is used

####################################
 #######  Physical parameter  #######
####################################
 lattice_dimension =            2
 Lt    =            1000
 dtau  =    0.100000000000000
 Beta  = dtau*Lt =  100.000000000000000
 lambda, el-phonon coupling =    1.000000000000000
 omega   =    1.000000000000000
 M   =    1.000000000000000
 K   =    1.000000000000000
 U_eff = lam^2/omega^2   =    1.000000000000000
 disorder =    0.000000000000000
 filling  =    0.500000000000000
 N_up = N_down  =              64

List of observables, averages and errors
 Description: 
   e_PE = -U/2 * (n_up + n_down)^2 = -U/2*(n_up+n_down) - U*n_up*n_down
#--observables--#
  
Name            Index           Average             Error
BFx_BFy             8       -0.18368582        0.00683843
BFx_BFy             9       -0.21476773        0.00730808
BFx_BFy            10        0.19380854        0.00967106
BFx_BFy            11       -0.20621370        0.00995015
BFx_BFy            12        0.18542460        0.01363769
BFx_BFy            13       -0.23079806        0.00698783
BFx_BFy            14        0.18434752        0.00647788
BFx_BFy            15       -0.18685474        0.01102542
BFx_BFy            16        0.22305482        0.00724441
BFx_BFy            17        0.19260789        0.00674292
BFx_BFy            18       -0.19438063        0.00404277
BFx_BFy            19        0.16996021        0.00334738
BFx_BFy            20       -0.21713110        0.00657634
BFx_BFy            21        0.20188955        0.00438534
BFx_BFy            22       -0.19159854        0.01125179
BFx_BFy            23        0.23161721        0.00484658
BFx_BFy            24       -0.18915991        0.00429106
BFx_BFy            25       -0.19438427        0.01347947
BFx_BFy            26        0.22496345        0.00862779
BFx_BFy            27       -0.22591441        0.01389624
BFx_BFy            28        0.18261815        0.01097029
BFx_BFy            29       -0.21512138        0.00936618
BFx_BFy            30        0.20427439        0.00923189
BFx_BFy            31       -0.23948967        0.01210030
BFx_BFy            32        0.20255562        0.00702415
BFx_BFy            33        0.21240329        0.00510043
BFx_BFy            34       -0.22063327        0.01187120
BFx_BFy            35        0.19385446        0.00729262
BFx_BFy            36       -0.20246593        0.00724583
BFx_BFy            37        0.23217626        0.00797039
BFx_BFy            38       -0.19645278        0.00848824
BFx_BFy            39        0.16889737        0.00384436
BFx_BFy            40       -0.22823925        0.00638385
BFx_BFy            41       -0.20838197        0.01044597
BFx_BFy            42        0.21581975        0.01111881
BFx_BFy            43       -0.18176078        0.00834581
BFx_BFy            44        0.22198362        0.00801021
BFx_BFy            45       -0.23102212        0.00626560
BFx_BFy            46        0.21270710        0.00993181
BFx_BFy            47       -0.22035995        0.00985674
BFx_BFy            48        0.21822840        0.01268128
BFx_BFy            49        0.21509528        0.00572198
BFx_BFy            50       -0.21661550        0.00498983
BFx_BFy            51        0.22649392        0.01525762
BFx_BFy            52       -0.17953241        0.00854844
BFx_BFy            53        0.23611798        0.00984748
BFx_BFy            54       -0.20448314        0.00398806
BFx_BFy            55        0.20149108        0.00603381
BFx_BFy            56       -0.22752427        0.00884248
BFx_BFy            57       -0.21074805        0.00594771
BFx_BFy            58        0.21295629        0.01014269
BFx_BFy            59       -0.21192757        0.00771098
BFx_BFy            60        0.19373668        0.01354773
BFx_BFy            61       -0.21765492        0.00888235
BFx_BFy            62        0.23551017        0.01975395
BFx_BFy            63       -0.21556020        0.00945692
BFx_BFy            64        0.22586339        0.00913441
  
#-----------------------------------------------------------
BFx_BFy_k           1        0.20825423        0.00625906
BFx_BFy_k           2        0.00010834        0.00030024
BFx_BFy_k           3        0.00115085        0.00070934
BFx_BFy_k           4       -0.00391346        0.00063649
BFx_BFy_k           5        0.00249460        0.00076904
BFx_BFy_k           6       -0.00391346        0.00063649
BFx_BFy_k           7        0.00115085        0.00070934
BFx_BFy_k           8        0.00010834        0.00030024
BFx_BFy_k           9       -0.00097021        0.00060370
BFx_BFy_k          10       -0.00003732        0.00096809
BFx_BFy_k          11       -0.00083170        0.00049716
BFx_BFy_k          12       -0.00085160        0.00034992
BFx_BFy_k          13        0.00183192        0.00078626
BFx_BFy_k          14        0.00258614        0.00078326
BFx_BFy_k          15       -0.00198128        0.00048183
BFx_BFy_k          16        0.00010618        0.00034438
BFx_BFy_k          17       -0.00018654        0.00037642
BFx_BFy_k          18       -0.00007700        0.00031024
BFx_BFy_k          19        0.00189843        0.00085222
BFx_BFy_k          20       -0.00048274        0.00035306
BFx_BFy_k          21       -0.00036169        0.00031511
BFx_BFy_k          22        0.00030174        0.00050251
BFx_BFy_k          23       -0.00169341        0.00014245
BFx_BFy_k          24        0.00058047        0.00015011
BFx_BFy_k          25        0.00014255        0.00009388
BFx_BFy_k          26       -0.00198579        0.00030133
BFx_BFy_k          27       -0.00349686        0.00060892
BFx_BFy_k          28        0.00313743        0.00041021
BFx_BFy_k          29        0.00168743        0.00095372
BFx_BFy_k          30       -0.00178497        0.00011740
BFx_BFy_k          31       -0.00249932        0.00079594
BFx_BFy_k          32        0.00063006        0.00102508
BFx_BFy_k          33       -0.00264614        0.00170598
BFx_BFy_k          34        0.00004503        0.00020326
BFx_BFy_k          35        0.00006343        0.00006408
BFx_BFy_k          36        0.00029451        0.00045822
BFx_BFy_k          37        0.00021000        0.00020906
BFx_BFy_k          38        0.00029451        0.00045822
BFx_BFy_k          39        0.00006343        0.00006408
BFx_BFy_k          40        0.00004503        0.00020326
BFx_BFy_k          41        0.00014255        0.00009388
